"cost","impressions","clicks","attributed_sales_7d","attributed_conversions_7d","attributed_units_ordered_7d"
"4.8","150","2","","",""
"0","1","0","","",""
"2.4","66","1","","",""
"0","1","0","","",""
"0","1","0","","",""
"0","5","0","","",""
"0","1","0","","",""
"0","2","0","","",""
"0","2","0","","",""
"0","1","0","","",""
"0","12","0","","",""
"0","14","0","","",""
"0","20","0","","",""
"2.4","162","1","","",""
"0","4","0","","",""
"0","1","0","","",""
"2.4","57","1","","",""
"0","1","0","","",""
"0","16","0","","",""
"0","21","0","","",""
"0","6","0","","",""
"0","1","0","","",""
"0","1","0","","",""
"0","12","0","","",""
"13.11","148","6","","",""
"112.32","368","45","337","2","2"
"7.2","120","3","","",""
"35.21","129","14","","",""
"2.86","205","2","","",""
"50.77","611","22","253.3799902","3","3"
"384.13","1482","155","3909.180103","35","45"
"13.41","280","6","295","1","1"
"383.9","1179","155","1020.920034","9","9"
"0","126","0","","",""
"70.28","1100","31","","",""
"90.47","451","36","189","1","1"
"0","1","0","","",""
"0","1","0","","",""
"0","2","0","","",""
"1.63","158","1","","",""
"0","8","0","","",""
"0","2","0","","",""
"0","21","0","","",""
"0","2","0","","",""
"0","29","0","","",""
"0","17","0","","",""
"0","9","0","","",""
"4.7","421","2","","",""
"0","10","0","","",""
"0","3","0","","",""
"0","742","0","","",""
"0","10","0","","",""
"2.4","146","1","","",""
"0","11","0","","",""
"0","63","0","","",""
"0","15","0","","",""
"0","190","0","","",""
"0","14","0","","",""
"0","10","0","","",""
"0","6","0","","",""
"0","1","0","","",""
"0","3","0","","",""
"0","2","0","","",""
"0","194","0","","",""
"0","16","0","","",""
"0","2","0","","",""
"0","2","0","","",""
"0","7","0","","",""
"0","1","0","","",""
"0","447","0","","",""
"0","6","0","","",""
"0","9","0","","",""
"0","1","0","","",""
"0","462","0","","",""
"0","2","0","","",""
"0","32","0","","",""
"0","6","0","","",""
"0","1","0","","",""
"0","9","0","","",""
"0","2","0","","",""
"0","15","0","","",""
